CO_ANO;CO_MES;CO_NCM;CO_UNID;CO_PAIS;SG_UF_NCM;CO_VIA;CO_URF;QT_ESTAT;KG_LIQUIDO;VL_FOB
1997;3;9011110;21;246;ND;1;727600;77;76800;184980
1997;4;9011110;21;23;SP;1;817800;2665;2666220;9499556
1997;12;9011110;21;246;ES;1;727600;1496;1497600;4196669
1997;11;9011110;21;23;BA;1;517600;153;153600;471360
1997;4;9011110;21;399;MG;1;717600;692;692400;2126350
1997;7;9011110;21;232;BA;1;817800;178;177540;815451
1997;7;9011110;21;72;MG;1;817800;38;38400;153656
1997;12;9011110;21;149;SP;1;817800;111;111600;349793
1997;12;9011110;21;431;MG;1;727600;214;213900;675423
1997;7;9011110;21;158;MG;7;1010900;295;295200;707570
1997;11;9011110;21;383;MG;1;817800;38;38400;113728
1997;12;9011110;21;23;BA;1;517600;130;130800;453797
1997;7;9011110;21;271;SP;1;817800;146;146400;488117
1997;1;9011110;21;63;MG;7;1010900;674;672300;1244301
1997;1;9011110;21;301;SP;1;817800;57;57600;126118
1997;11;9011110;21;249;MG;1;727600;194;194400;543290
1997;11;9011110;21;190;SP;1;817800;34;33600;133829
1997;11;9011110;21;744;MG;1;727600;133;134400;364992
1997;1;9011110;21;63;PR;7;1010900;75;74700;146472
1997;11;9011110;21;246;MG;1;817800;58;57600;175334
1997;4;9011110;21;249;BA;1;517600;18;18000;72000
1997;11;9011110;21;72;MG;1;817800;57;57600;200219
1997;8;9011110;21;741;SP;1;817800;17;17100;53010
1997;4;9011110;21;628;SP;1;817800;108;108000;397656
1997;3;9011110;21;63;ES;7;1010900;885;882900;1763141
1997;4;9011110;21;845;MG;7;1015300;18;18000;32400
1997;4;9011110;21;63;MG;1;817800;245;246000;770930
1997;11;9011110;21;607;SP;1;817800;116;115860;357578
1997;8;9011110;21;245;ES;1;817800;106;106200;319850
1997;4;9011110;21;245;MG;1;727600;241;242400;787333
1997;6;9011110;21;149;ES;1;717600;135;134400;324795
1997;11;9011110;21;63;MG;1;717600;129;129600;454780
1997;3;9011110;21;301;SP;1;817800;19;19200;53760
1997;6;9011110;21;271;SP;1;817800;305;304800;1170843
1997;9;9011110;21;72;MG;1;727600;403;403200;1116480
1997;9;9011110;21;744;ES;1;727600;381;384000;1034224
1997;9;9011110;21;249;BA;1;727600;94;93600;332632
1997;11;9011110;21;791;MG;1;817800;146;146400;423882
1997;8;9011110;21;246;MG;1;727600;729;729600;1586936
1997;8;9011110;21;249;ES;1;817800;205;204420;678404
1997;12;9011110;21;72;ES;1;727600;479;480000;1440576
1997;12;9011110;21;69;PR;1;817800;5;5580;15845
1997;12;9011110;21;386;ES;1;817800;38;38400;123382
1997;12;9011110;21;271;MG;1;817800;1125;1125600;3788433
1997;8;9011110;21;628;ES;1;727600;19;19200;51840
1997;8;9011110;21;63;MG;1;727600;19;19200;54827
1997;12;9011110;21;573;ES;1;727600;22;21600;65491
1997;12;9011110;21;23;PR;1;817800;360;359340;1014156
1997;7;9011110;21;538;MG;1;817800;520;520800;1932200
1997;7;9011110;21;249;RO;1;727600;115;115200;191346
1997;4;9011110;21;151;ES;1;717600;58;57600;151752
1997;7;9011110;21;87;ES;1;727600;15;15000;44400
1997;7;9011110;21;355;ES;1;727600;251;249600;675072
1997;4;9011110;21;249;ES;1;717600;83;82680;260215
1997;7;9011110;21;383;MG;1;727600;19;19200;53376
1997;4;9011110;21;573;ES;1;727600;57;57600;153792
1997;1;9011110;21;301;MG;1;727600;556;556800;1103059
1997;9;9011110;21;764;SP;1;817800;369;369660;1246414
1997;3;9011110;21;249;ES;1;717600;154;153600;462225
1997;11;9011110;21;149;SP;1;817800;168;169200;521960
1997;3;9011110;21;607;BA;1;517600;18;18000;46800
1997;3;9011110;21;72;ES;1;727600;212;211200;619392
1997;11;9011110;21;845;ES;7;1015300;74;72000;192875
1997;11;9011110;21;246;BA;1;727600;38;38400;112186
1997;11;9011110;21;386;MG;1;717600;18;17400;63168
1997;3;9011110;21;163;ES;1;727600;77;76800;196608
1997;12;9011110;21;275;ES;1;727600;17;16500;52470
1997;12;9011110;21;386;BA;1;517600;210;211200;791349
1997;12;9011110;21;628;SP;1;817800;76;76800;264412
1997;12;9011110;21;161;SP;1;817800;17;17100;57855
1997;8;9011110;21;403;ES;1;727600;152;153600;406158
1997;7;9011110;21;69;SP;1;817800;77;76800;297570
1997;8;9011110;21;240;ES;1;727600;38;38400;96000
1997;3;9011110;21;741;MG;1;717600;15;15000;39765
1997;6;9011110;21;232;SP;1;817800;238;237720;1007545
1997;6;9011110;21;53;ES;1;717600;76;76800;203789
1997;8;9011110;21;63;ES;1;817800;15;14520;50933
1997;9;9011110;21;63;MG;1;727600;76;76800;218752
1997;4;9011110;21;399;SP;4;817600;1;1020;5355
1997;4;9011110;21;245;ES;1;817800;204;204000;562488
1997;7;9011110;21;599;ND;1;817800;18;18000;98100
1997;7;9011110;21;149;ES;1;817800;43;43440;196392
1997;3;9011110;21;249;BA;1;517600;18;18000;48213
1997;12;9011110;21;163;ES;1;727600;152;153600;411648
1997;8;9011110;21;403;PR;1;817800;19;19200;28800
1997;7;9011110;21;399;ND;1;817800;430;429600;1856213
1997;8;9011110;21;63;PR;7;910600;50;49800;138610
1997;6;9011110;21;431;MG;1;727600;235;234000;692160
1997;6;9011110;21;23;MG;1;717600;57;57600;219548
1997;8;9011110;21;158;SP;7;1010900;25;25020;64536
1997;8;9011110;21;431;MG;1;727600;177;175500;473238
1997;6;9011110;21;63;MG;1;727600;572;570000;1227081
1997;9;9011110;21;63;PR;1;817800;19;19200;75605
1997;2;9011110;21;301;SP;1;817800;205;206400;553335
1997;2;9011110;21;399;MG;1;817800;3207;3197340;8959457
1997;4;9011110;21;149;MG;1;717600;94;93600;352741
1997;9;9011110;21;190;PR;1;817800;202;201600;806672
1997;2;9011110;21;355;ES;1;727600;192;192000;392928
1997;9;9011110;21;249;BA;1;817800;27;27000;79150
1997;6;9011110;21;245;MG;1;727600;229;230400;824293
1997;2;9011110;21;827;ES;1;727600;477;480000;1254905
1997;6;9011110;21;399;ES;5;727600;54;54000;91476
1997;2;9011110;21;764;MG;1;817800;1932;1933140;5203376
1997;2;9011110;21;744;ES;1;727600;401;403200;930808
1997;2;9011110;21;386;ES;1;727600;96;96000;258240
1997;7;9011110;21;195;ES;1;727600;300;300000;906420
1997;4;9011110;21;399;ES;1;717600;202;202200;633561
1997;9;9011110;21;474;MG;1;817800;19;19200;63744
1997;2;9011110;21;275;ND;1;727600;19;18000;25577
1997;7;9011110;21;87;MG;1;717600;108;108000;432900
1997;7;9011110;21;670;ES;1;727600;38;38400;113664
1997;8;9011110;21;275;BA;1;817800;11;11340;39650
1997;12;9011110;21;599;MG;1;817800;18;18000;50940
1997;7;9011110;21;23;BA;1;517600;76;76800;241152
1997;2;9011110;21;275;SP;1;817800;530;530400;1336766
1997;6;9011110;21;383;MG;1;817800;19;19200;65280
1997;7;9011110;21;573;MG;1;727600;114;115200;325632
1997;9;9011110;21;301;PR;1;817800;19;19200;51840
1997;6;9011110;21;149;PR;1;817800;193;193200;297122
1997;9;9011110;21;573;SP;1;817800;129;129600;399526
1997;5;9011110;21;249;SP;1;817800;3613;3614100;13867465
1997;6;9011110;21;845;PR;7;1015300;24;24000;66700
1997;2;9011110;21;87;ND;1;817800;688;687600;2118451
1997;2;9011110;21;301;ND;1;727600;96;96000;260010
1997;2;9011110;21;271;SP;1;817800;461;460800;1317339
